Index,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
0,2,10000,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,2,20000,800,1 out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,2,17000,1000,1 out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,2,10000,800,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
4,2,7500,850,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
5,2,7000,600,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
6,2,10000,700,Ground out of 4,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
7,1,5000,250,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent
8,2,26000,800,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
9,2,10000,1000,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
10,3,25000,1200,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
11,1,5000,400,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
12,1,6500,250,1 out of 4,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Owner
13,1,5500,375,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
14,3,8500,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
15,3,40000,1286,1 out of 1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
16,2,6000,600,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
17,2,10000,800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
18,2,11000,2000,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19,2,6000,660,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
20,2,7900,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner
21,2,9000,400,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
22,1,4000,300,Ground out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
23,3,6500,1600,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24,1,8000,400,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
25,2,7000,1000,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
26,1,5300,355,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
27,2,6000,1000,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
28,2,8500,800,4 out of 5,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
29,2,12500,850,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
30,1,7500,350,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
31,2,15000,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
32,2,6000,550,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
33,2,5000,500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
34,3,22000,1100,2 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
35,2,15000,850,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
36,2,12500,800,2 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent
37,2,7000,630,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
38,2,21000,900,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
39,1,10000,270,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
40,2,7200,630,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
41,3,12000,1500,Ground out of 2,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner
42,1,5000,600,2 out of 5,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
43,2,8500,700,4 out of 14,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
44,1,6000,300,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
45,2,10000,1300,Ground out of 1,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
46,2,4600,400,3 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
47,2,12000,650,Ground out of 1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
48,3,30000,2000,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
49,3,15000,1068,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
50,1,7500,150,1 out of 1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
51,1,7500,450,2 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
52,2,5000,800,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
53,2,15000,1000,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
54,2,11000,900,5 out of 5,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
55,1,7000,600,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
56,2,6000,1200,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
57,2,6000,1200,2 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
58,2,7000,650,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
59,2,8500,720,4 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
60,1,5000,300,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
61,3,30000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
62,2,10000,700,7 out of 8,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
63,3,30000,2000,1 out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
64,1,3500,250,Ground out of 4,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
65,2,8000,1100,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
66,1,5000,300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
67,2,7500,600,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
68,2,6500,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
69,1,7500,680,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
70,1,7500,680,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
71,2,16000,850,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
72,2,16000,850,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
73,2,6500,700,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
74,3,40000,1500,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
75,2,12500,950,1 out of 4,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
76,2,5500,500,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
77,1,5000,450,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
78,2,6500,700,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
79,1,8000,500,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
80,3,14500,1800,Ground out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
81,1,8200,500,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
82,2,15000,480,Ground out of 3,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
83,6,20000,1000,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
84,2,6700,800,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
85,1,10000,435,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
86,2,7000,700,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
87,2,22000,800,4 out of 4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Agent
88,2,6500,450,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
89,2,8500,550,2 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
90,2,18000,800,Ground out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
91,2,12000,550,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
92,1,9000,600,2 out of 4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
93,1,6000,500,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
94,2,20000,1000,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
